MUNICÍPIO-CÓD,MUNICÍPIO,ANO FATO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
313520,JANUARIA,2018,38,35,52,43,37,31,45,44,34,52,35,48
313520,JANUARIA,2019,49,37,43,30,44,30,37,42,40,46,47,45
313520,JANUARIA,2020,38,36,33,35,41,32,47,35,47,42,53,39
313520,JANUARIA,2021,37,25,,,,,,,,,,
313530,JAPARAIBA,2018,0,0,1,3,1,4,1,3,2,0,1,1
313530,JAPARAIBA,2019,2,0,2,3,3,0,2,3,0,2,2,5
313530,JAPARAIBA,2020,3,0,1,3,3,4,3,3,0,2,0,5
313530,JAPARAIBA,2021,2,0,,,,,,,,,,
313535,JAPONVAR,2018,2,3,5,5,2,5,0,0,8,4,0,2
313535,JAPONVAR,2019,2,6,4,1,1,0,5,5,3,4,1,1
313535,JAPONVAR,2020,1,3,1,2,3,2,2,2,2,2,0,1
313535,JAPONVAR,2021,2,2,,,,,,,,,,
313540,JECEABA,2018,4,3,4,1,4,4,4,2,6,4,5,0
313540,JECEABA,2019,7,7,11,3,3,3,3,4,5,4,4,4
313540,JECEABA,2020,3,7,6,0,4,1,3,1,2,5,6,5
313540,JECEABA,2021,5,5,,,,,,,,,,
313545,JENIPAPO DE MINAS,2018,2,3,4,2,6,1,4,4,5,5,4,5
313545,JENIPAPO DE MINAS,2019,3,5,4,3,1,2,1,3,6,3,6,2
313545,JENIPAPO DE MINAS,2020,2,0,2,7,1,5,2,6,3,3,2,3
313545,JENIPAPO DE MINAS,2021,0,4,,,,,,,,,,
313550,JEQUERI,2018,8,7,8,4,5,4,5,4,12,10,7,6
313550,JEQUERI,2019,9,6,6,8,3,3,10,5,9,4,7,10
313550,JEQUERI,2020,5,3,3,5,7,5,11,8,7,9,4,5
313550,JEQUERI,2021,8,10,,,,,,,,,,
313560,JEQUITAI,2018,5,1,4,4,4,2,2,1,8,6,2,7
313560,JEQUITAI,2019,4,4,2,6,1,8,4,5,5,3,4,7
313560,JEQUITAI,2020,5,3,4,3,4,2,2,5,9,5,12,6
313560,JEQUITAI,2021,6,2,,,,,,,,,,
313570,JEQUITIBA,2018,3,3,2,5,3,5,3,1,6,5,3,10
313570,JEQUITIBA,2019,4,6,4,5,1,3,6,3,5,4,2,4
313570,JEQUITIBA,2020,4,6,2,6,3,0,0,7,5,4,0,2
313570,JEQUITIBA,2021,4,2,,,,,,,,,,
313580,JEQUITINHONHA,2018,21,18,24,17,24,17,13,23,29,20,25,33
313580,JEQUITINHONHA,2019,28,17,15,24,15,17,9,16,13,20,15,21
313580,JEQUITINHONHA,2020,19,11,14,15,11,21,19,18,14,9,20,20
313580,JEQUITINHONHA,2021,10,15,,,,,,,,,,
313590,JESUANIA,2018,1,4,4,3,3,4,2,1,2,2,4,2
313590,JESUANIA,2019,4,1,1,3,3,2,2,1,3,2,5,3
313590,JESUANIA,2020,3,6,1,0,3,2,1,3,4,3,9,2
313600,JOAIMA,2018,3,5,11,5,2,0,3,7,7,7,5,5
313600,JOAIMA,2019,4,8,5,12,0,9,5,3,1,6,7,6
313600,JOAIMA,2020,3,2,5,4,14,5,1,4,5,8,5,2
313600,JOAIMA,2021,4,5,,,,,,,,,,
313610,JOANESIA,2018,1,0,0,2,1,1,1,1,5,4,4,2
313610,JOANESIA,2019,1,2,1,4,3,4,4,1,2,3,4,2
313610,JOANESIA,2020,3,0,2,1,3,3,1,2,1,1,1,0
313610,JOANESIA,2021,0,2,,,,,,,,,,
313620,JOAO MONLEVADE,2018,50,47,64,54,51,38,47,49,57,58,47,48
313620,JOAO MONLEVADE,2019,49,35,39,39,45,41,53,51,45,57,62,52
313620,JOAO MONLEVADE,2020,36,73,43,36,53,44,44,58,61,54,53,40
313620,JOAO MONLEVADE,2021,32,37,,,,,,,,,,
313630,JOAO PINHEIRO,2018,9,29,17,18,26,24,26,31,20,31,19,27
313630,JOAO PINHEIRO,2019,24,27,28,21,24,24,14,19,31,15,32,25
313630,JOAO PINHEIRO,2020,19,18,18,21,22,19,19,22,21,20,20,30
313630,JOAO PINHEIRO,2021,16,17,,,,,,,,,,
313640,JOAQUIM FELICIO,2018,1,3,3,0,1,4,1,0,1,4,4,1
313640,JOAQUIM FELICIO,2019,4,0,1,0,6,2,0,2,0,0,2,4
313640,JOAQUIM FELICIO,2020,1,3,0,1,2,0,2,1,0,0,2,2
313640,JOAQUIM FELICIO,2021,0,1,,,,,,,,,,
313650,JORDANIA,2018,0,4,3,2,6,3,2,3,2,2,5,3
313650,JORDANIA,2019,3,5,3,4,2,7,3,3,2,3,7,2
313650,JORDANIA,2020,2,7,1,3,3,1,1,2,1,4,1,2
313650,JORDANIA,2021,3,1,,,,,,,,,,
313652,JOSE GONCALVES DE MINAS,2018,3,1,1,2,0,0,0,1,4,1,1,0
313652,JOSE GONCALVES DE MINAS,2019,1,1,1,2,2,0,1,0,1,0,0,1
313652,JOSE GONCALVES DE MINAS,2020,1,0,5,1,2,1,2,1,1,1,1,1
313652,JOSE GONCALVES DE MINAS,2021,0,2,,,,,,,,,,
313655,JOSE RAYDAN,2018,3,0,0,0,1,0,0,0,0,0,1,4
313655,JOSE RAYDAN,2019,3,2,4,1,3,2,3,3,2,1,0,2
313655,JOSE RAYDAN,2020,2,0,1,4,3,4,1,1,2,0,2,1
313655,JOSE RAYDAN,2021,0,1,,,,,,,,,,
313657,JOSENOPOLIS,2018,4,1,3,3,2,2,3,2,2,4,1,1
313657,JOSENOPOLIS,2019,2,0,1,0,3,1,0,0,0,0,1,2
313657,JOSENOPOLIS,2020,3,1,2,2,1,4,0,2,3,1,5,0
313660,NOVA UNIAO,2018,5,5,4,1,2,4,3,3,2,4,1,2
313660,NOVA UNIAO,2019,3,2,2,1,2,1,5,2,3,5,4,3
313660,NOVA UNIAO,2020,4,6,2,5,1,2,1,3,4,2,1,2
313660,NOVA UNIAO,2021,0,2,,,,,,,,,,
313665,JUATUBA,2018,27,16,17,13,18,25,15,15,26,21,16,33
313665,JUATUBA,2019,23,39,19,13,20,19,22,12,14,21,18,21
313665,JUATUBA,2020,38,18,24,19,27,29,27,23,24,37,30,27
313665,JUATUBA,2021,33,14,,,,,,,,,,
313670,JUIZ DE FORA,2018,420,384,456,433,442,404,409,419,470,474,363,457
313670,JUIZ DE FORA,2019,523,422,453,406,391,380,387,362,389,444,419,407
313670,JUIZ DE FORA,2020,478,395,387,287,311,372,349,368,356,383,380,350
313670,JUIZ DE FORA,2021,425,401,,,,,,,,,,
313680,JURAMENTO,2018,4,4,4,4,0,3,1,1,6,2,4,2
313680,JURAMENTO,2019,6,3,2,2,1,3,3,2,0,0,2,2
313680,JURAMENTO,2020,2,3,2,2,4,2,3,2,2,2,2,0
313680,JURAMENTO,2021,1,2,,,,,,,,,,
313690,JURUAIA,2018,0,4,3,7,5,5,4,4,4,4,0,2
313690,JURUAIA,2019,4,2,2,3,7,2,2,0,8,6,5,5
313690,JURUAIA,2020,6,5,6,4,0,1,5,1,7,5,9,0
313690,JURUAIA,2021,6,2,,,,,,,,,,
313695,JUVENILIA,2018,1,1,1,1,0,1,2,1,2,3,1,1
313695,JUVENILIA,2019,3,2,3,3,1,2,1,0,0,0,0,1
313695,JUVENILIA,2020,0,2,0,1,1,3,0,2,1,2,1,1
313695,JUVENILIA,2021,0,1,,,,,,,,,,
313700,LADAINHA,2018,11,8,7,5,4,3,2,9,8,4,14,8
313700,LADAINHA,2019,8,2,8,6,11,6,11,7,7,7,9,13
313700,LADAINHA,2020,6,2,8,8,7,6,10,4,9,6,3,2
313700,LADAINHA,2021,7,5,,,,,,,,,,
313710,LAGAMAR,2018,0,0,4,2,1,1,0,0,1,1,0,0
313710,LAGAMAR,2019,3,5,2,0,0,0,2,2,2,4,2,3
313710,LAGAMAR,2020,5,2,1,2,3,0,4,3,4,5,4,3
313710,LAGAMAR,2021,4,3,,,,,,,,,,
313720,LAGOA DA PRATA,2018,29,34,40,43,38,45,29,32,34,41,30,45
313720,LAGOA DA PRATA,2019,38,35,44,40,33,30,34,49,37,51,47,34
313720,LAGOA DA PRATA,2020,44,43,45,38,35,30,50,56,44,56,47,47
313720,LAGOA DA PRATA,2021,46,35,,,,,,,,,,
313730,LAGOA DOS PATOS,2018,6,2,7,2,1,4,0,1,5,3,2,1
313730,LAGOA DOS PATOS,2019,1,2,1,0,1,1,2,0,2,5,2,0
313730,LAGOA DOS PATOS,2020,3,4,4,0,4,2,1,1,1,4,4,1
313730,LAGOA DOS PATOS,2021,2,0,,,,,,,,,,
313740,LAGOA DOURADA,2018,2,3,6,4,2,1,3,4,7,1,4,4
313740,LAGOA DOURADA,2019,2,6,3,8,6,2,2,4,8,11,6,7
313740,LAGOA DOURADA,2020,4,7,6,7,5,2,2,7,5,6,6,5
313740,LAGOA DOURADA,2021,2,3,,,,,,,,,,
313750,LAGOA FORMOSA,2018,14,10,11,13,6,10,5,6,9,17,13,8
313750,LAGOA FORMOSA,2019,15,20,9,12,9,10,10,7,15,8,7,12
313750,LAGOA FORMOSA,2020,9,10,12,13,9,10,13,13,9,8,7,11
313750,LAGOA FORMOSA,2021,8,7,,,,,,,,,,
313753,LAGOA GRANDE,2018,3,6,7,4,8,5,5,9,9,7,6,7
313753,LAGOA GRANDE,2019,5,6,7,6,5,4,8,2,4,3,5,7
313753,LAGOA GRANDE,2020,4,4,8,5,8,0,3,5,7,9,4,14
313753,LAGOA GRANDE,2021,3,1,,,,,,,,,,
313760,LAGOA SANTA,2018,39,26,33,37,27,34,29,40,46,51,33,31
313760,LAGOA SANTA,2019,36,31,49,44,26,42,37,32,31,41,40,33
313760,LAGOA SANTA,2020,43,34,30,33,28,34,28,31,45,50,50,42
313760,LAGOA SANTA,2021,36,38,,,,,,,,,,
313770,LAJINHA,2018,12,11,16,8,18,13,8,11,17,11,13,14
313770,LAJINHA,2019,11,6,13,11,8,10,12,11,14,12,14,10
313770,LAJINHA,2020,9,16,9,13,7,6,11,12,8,9,19,7
313770,LAJINHA,2021,9,4,,,,,,,,,,
313780,LAMBARI,2018,10,11,12,14,11,5,7,13,4,8,9,5
313780,LAMBARI,2019,8,10,7,9,6,7,10,11,7,9,11,5
313780,LAMBARI,2020,7,7,12,14,9,9,6,7,10,9,4,6
313780,LAMBARI,2021,4,9,,,,,,,,,,
313790,LAMIM,2018,2,2,1,0,0,0,0,0,2,0,0,2
313790,LAMIM,2019,3,7,0,1,0,1,0,0,1,1,1,2
313790,LAMIM,2020,0,0,2,1,0,1,1,2,2,0,1,2
313790,LAMIM,2021,1,1,,,,,,,,,,
313800,LARANJAL,2018,3,7,4,3,3,3,6,1,1,1,7,5
313800,LARANJAL,2019,5,5,8,2,1,3,5,0,3,2,3,4
313800,LARANJAL,2020,3,6,2,4,4,1,2,3,7,4,6,4
313800,LARANJAL,2021,6,2,,,,,,,,,,
313810,LASSANCE,2018,4,7,4,6,5,3,4,4,6,5,4,7
313810,LASSANCE,2019,4,5,2,3,2,3,2,6,2,6,5,5
313810,LASSANCE,2020,7,3,2,1,2,5,2,5,6,6,4,2
313810,LASSANCE,2021,2,6,,,,,,,,,,
313820,LAVRAS,2018,88,74,76,76,51,46,46,68,64,72,56,71
313820,LAVRAS,2019,65,64,60,70,75,61,58,73,74,61,64,82
313820,LAVRAS,2020,76,63,64,72,55,77,67,71,81,72,74,79
313820,LAVRAS,2021,64,68,,,,,,,,,,
313830,LEANDRO FERREIRA,2018,3,3,4,2,1,3,2,2,1,1,0,5
313830,LEANDRO FERREIRA,2019,7,2,1,3,2,1,2,3,3,2,4,0
313830,LEANDRO FERREIRA,2020,4,2,1,2,3,1,3,2,4,1,3,2
313830,LEANDRO FERREIRA,2021,3,1,,,,,,,,,,
313835,LEME DO PRADO,2018,3,1,2,1,4,3,2,9,5,1,4,0
313835,LEME DO PRADO,2019,2,6,1,0,5,6,1,6,3,1,1,1
313835,LEME DO PRADO,2020,3,1,5,1,4,3,5,1,1,6,6,6
313835,LEME DO PRADO,2021,0,1,,,,,,,,,,
313840,LEOPOLDINA,2018,38,24,23,32,18,23,31,30,27,44,55,38
313840,LEOPOLDINA,2019,37,26,28,28,30,22,24,44,33,39,37,47
313840,LEOPOLDINA,2020,37,28,24,25,25,27,30,28,24,32,24,22
313840,LEOPOLDINA,2021,21,37,,,,,,,,,,
313850,LIBERDADE,2018,0,0,1,1,1,0,1,2,1,4,1,0
313850,LIBERDADE,2019,1,1,3,1,0,2,1,0,1,2,0,0
313850,LIBERDADE,2020,1,0,0,0,0,0,0,1,1,1,1,0
313860,LIMA DUARTE,2018,18,11,5,12,10,19,12,4,10,10,11,19
313860,LIMA DUARTE,2019,12,10,10,9,9,8,9,10,11,8,15,12
313860,LIMA DUARTE,2020,13,11,11,8,5,8,8,9,9,14,8,11
313860,LIMA DUARTE,2021,12,5,,,,,,,,,,
313862,LIMEIRA DO OESTE,2018,4,6,11,7,4,6,5,5,2,2,3,1
313862,LIMEIRA DO OESTE,2019,4,4,7,4,6,6,5,3,6,5,4,4
313862,LIMEIRA DO OESTE,2020,0,2,0,4,1,2,4,3,3,7,13,2
313862,LIMEIRA DO OESTE,2021,4,2,,,,,,,,,,
313865,LONTRA,2018,3,5,3,5,5,4,4,5,0,3,6,0
313865,LONTRA,2019,4,4,2,0,3,2,4,3,2,4,4,1
313865,LONTRA,2020,5,5,3,1,1,2,1,2,1,3,2,1
313865,LONTRA,2021,0,5,,,,,,,,,,
313867,LUISBURGO,2018,3,3,2,6,2,1,1,1,3,4,1,2
313867,LUISBURGO,2019,2,1,5,4,0,2,3,1,3,4,3,1
313867,LUISBURGO,2020,1,2,1,3,2,5,3,4,1,0,3,1
313867,LUISBURGO,2021,8,0,,,,,,,,,,
313868,LUISLANDIA,2018,3,1,2,2,2,2,0,0,3,3,1,1
313868,LUISLANDIA,2019,3,2,1,1,0,5,2,3,2,2,2,2
313868,LUISLANDIA,2020,2,0,2,0,3,3,0,1,1,1,2,1
313868,LUISLANDIA,2021,0,3,,,,,,,,,,
313870,LUMINARIAS,2018,5,2,3,7,5,4,3,3,3,3,4,2
313870,LUMINARIAS,2019,3,6,6,4,6,3,3,2,4,7,4,4
313870,LUMINARIAS,2020,1,1,6,6,4,1,3,1,4,4,3,9
313870,LUMINARIAS,2021,1,3,,,,,,,,,,
313880,LUZ,2018,14,12,13,15,10,10,20,13,24,20,10,22
313880,LUZ,2019,17,16,16,14,8,13,17,13,12,13,20,12
313880,LUZ,2020,18,16,11,12,6,4,14,10,9,14,19,18
313880,LUZ,2021,16,13,,,,,,,,,,
313890,MACHACALIS,2018,7,5,4,5,2,3,5,3,6,3,7,3
313890,MACHACALIS,2019,5,3,3,5,2,4,4,3,1,1,2,2
313890,MACHACALIS,2020,4,2,2,8,6,2,5,3,5,2,6,5
313890,MACHACALIS,2021,5,5,,,,,,,,,,
313900,MACHADO,2018,22,23,13,24,17,13,19,25,17,16,23,26
313900,MACHADO,2019,19,9,15,10,15,22,19,22,23,14,14,21
313900,MACHADO,2020,24,10,12,21,15,17,12,25,18,24,23,25
313900,MACHADO,2021,16,19,,,,,,,,,,
313910,MADRE DE DEUS DE MINAS,2018,6,1,3,0,1,1,1,1,1,2,4,5
313910,MADRE DE DEUS DE MINAS,2019,3,3,0,4,1,1,0,2,6,7,3,0
313910,MADRE DE DEUS DE MINAS,2020,5,2,1,2,3,5,2,3,3,2,1,2
313910,MADRE DE DEUS DE MINAS,2021,7,2,,,,,,,,,,
313920,MALACACHETA,2018,16,18,11,19,21,20,19,11,15,15,26,25
313920,MALACACHETA,2019,20,27,20,15,24,22,14,17,24,24,17,30
313920,MALACACHETA,2020,14,18,9,20,29,15,12,20,18,25,26,11
313920,MALACACHETA,2021,16,15,,,,,,,,,,
313925,MAMONAS,2018,1,0,2,3,0,1,0,2,1,2,5,1
313925,MAMONAS,2019,1,3,1,0,2,0,2,6,2,1,3,2
313925,MAMONAS,2020,4,1,1,1,2,2,4,3,2,0,2,3
313930,MANGA,2018,14,8,9,10,10,12,10,10,10,16,10,12
313930,MANGA,2019,9,14,12,9,14,11,13,15,8,12,8,12
313930,MANGA,2020,17,12,14,5,8,13,7,6,12,7,12,4
313930,MANGA,2021,23,10,,,,,,,,,,
313940,MANHUACU,2018,66,63,69,57,59,61,64,63,66,79,80,75
313940,MANHUACU,2019,63,68,78,63,66,62,52,46,61,62,52,48
313940,MANHUACU,2020,67,46,53,55,42,40,40,46,60,61,58,61
313940,MANHUACU,2021,56,42,,,,,,,,,,
313950,MANHUMIRIM,2018,11,17,14,13,10,3,11,8,16,11,14,24
313950,MANHUMIRIM,2019,15,15,24,11,16,11,14,11,21,26,19,19
313950,MANHUMIRIM,2020,23,13,9,14,15,13,13,13,6,18,17,14
313950,MANHUMIRIM,2021,13,16,,,,,,,,,,
313960,MANTENA,2018,14,14,14,15,13,11,16,14,10,9,14,11
313960,MANTENA,2019,20,16,22,10,9,9,13,22,17,14,13,12
313960,MANTENA,2020,19,15,19,32,12,11,13,21,17,17,8,16
313960,MANTENA,2021,21,21,,,,,,,,,,
313970,MARAVILHAS,2018,4,2,3,4,6,1,2,1,3,6,4,3
313970,MARAVILHAS,2019,6,4,2,2,2,3,1,1,2,3,7,1
313970,MARAVILHAS,2020,6,6,5,6,2,2,4,1,7,4,4,3
313970,MARAVILHAS,2021,3,0,,,,,,,,,,
313980,MAR DE ESPANHA,2018,7,11,5,8,5,10,6,7,3,8,15,7
313980,MAR DE ESPANHA,2019,8,5,8,8,3,3,10,9,9,9,3,12
313980,MAR DE ESPANHA,2020,9,5,4,8,11,6,8,10,9,11,7,15
313980,MAR DE ESPANHA,2021,7,2,,,,,,,,,,
313990,MARIA DA FE,2018,7,2,8,5,3,3,6,5,6,4,6,2
313990,MARIA DA FE,2019,4,5,6,4,7,9,3,5,10,5,8,10
313990,MARIA DA FE,2020,8,3,11,5,8,3,5,8,10,4,7,5
313990,MARIA DA FE,2021,0,5,,,,,,,,,,
314000,MARIANA,2018,42,52,46,40,46,40,46,44,52,47,42,43
314000,MARIANA,2019,37,36,53,30,42,36,36,41,47,44,44,40
314000,MARIANA,2020,50,48,42,35,45,33,51,56,45,52,49,56
314000,MARIANA,2021,57,47,,,,,,,,,,
314010,MARILAC,2018,0,0,0,3,2,3,2,3,0,2,3,1
314010,MARILAC,2019,1,5,9,2,2,2,2,0,5,1,4,4
314010,MARILAC,2020,4,1,5,3,2,7,2,7,0,2,5,2
314010,MARILAC,2021,5,1,,,,,,,,,,
314015,MARIO CAMPOS,2018,14,6,4,11,7,9,3,10,10,11,11,7
314015,MARIO CAMPOS,2019,5,7,13,9,3,11,14,8,12,12,8,18
314015,MARIO CAMPOS,2020,6,12,13,12,15,5,9,10,12,13,11,8
314015,MARIO CAMPOS,2021,13,26,,,,,,,,,,
314020,MARIPA DE MINAS,2018,1,1,1,2,1,2,0,1,0,1,1,0
314020,MARIPA DE MINAS,2019,3,3,2,1,0,1,4,2,1,1,1,2
314020,MARIPA DE MINAS,2020,1,1,0,0,1,2,0,1,0,3,1,3
314020,MARIPA DE MINAS,2021,3,0,,,,,,,,,,
314030,MARLIERIA,2018,1,3,2,1,5,3,5,2,1,1,1,3
314030,MARLIERIA,2019,5,0,1,1,1,3,2,6,0,1,0,0
314030,MARLIERIA,2020,3,5,1,1,3,0,1,1,2,2,6,1
314030,MARLIERIA,2021,2,0,,,,,,,,,,
314040,MARMELOPOLIS,2018,2,0,0,0,0,0,2,0,0,2,0,1
314040,MARMELOPOLIS,2019,2,0,2,4,1,2,0,0,0,0,1,0
314040,MARMELOPOLIS,2020,0,3,1,0,0,0,1,0,1,0,0,0
314040,MARMELOPOLIS,2021,0,1,,,,,,,,,,
314050,MARTINHO CAMPOS,2018,9,10,14,12,12,24,16,14,12,15,13,16
314050,MARTINHO CAMPOS,2019,21,19,11,12,15,16,16,7,11,8,18,11
314050,MARTINHO CAMPOS,2020,12,10,7,5,8,17,11,16,11,11,11,20
314050,MARTINHO CAMPOS,2021,10,9,,,,,,,,,,
314053,MARTINS SOARES,2018,4,2,1,3,3,0,4,2,1,3,2,0
314053,MARTINS SOARES,2019,2,2,7,0,1,4,7,2,2,4,1,7
314053,MARTINS SOARES,2020,3,4,1,2,0,4,2,9,4,2,1,6
314053,MARTINS SOARES,2021,4,2,,,,,,,,,,
314055,MATA VERDE,2018,4,2,4,4,5,3,1,3,6,1,3,4
314055,MATA VERDE,2019,1,3,4,5,2,4,5,5,0,0,2,5
314055,MATA VERDE,2020,1,5,1,0,3,6,2,2,1,4,2,3
314055,MATA VERDE,2021,6,5,,,,,,,,,,
314060,MATERLANDIA,2018,1,2,4,5,2,1,1,3,1,3,0,1
314060,MATERLANDIA,2019,0,6,2,4,0,1,7,4,2,3,1,3
314060,MATERLANDIA,2020,0,2,0,1,0,0,0,5,5,3,2,3
314070,MATEUS LEME,2018,28,25,26,27,46,20,23,27,31,27,35,33
314070,MATEUS LEME,2019,23,23,25,43,14,30,40,19,28,32,17,28
314070,MATEUS LEME,2020,22,25,24,10,11,23,18,19,23,24,22,36
314070,MATEUS LEME,2021,38,27,,,,,,,,,,
314080,MATIAS BARBOSA,2018,7,6,9,8,17,11,5,6,8,11,6,11
314080,MATIAS BARBOSA,2019,21,6,4,3,7,8,4,10,6,5,20,15
314080,MATIAS BARBOSA,2020,6,13,11,7,8,6,6,13,5,12,14,20
314080,MATIAS BARBOSA,2021,5,8,,,,,,,,,,
314085,MATIAS CARDOSO,2018,7,0,4,3,3,0,0,8,2,4,11,5
314085,MATIAS CARDOSO,2019,3,3,3,4,1,0,4,4,3,1,2,4
314085,MATIAS CARDOSO,2020,1,2,2,0,2,6,4,3,8,4,4,4
314085,MATIAS CARDOSO,2021,4,6,,,,,,,,,,
314090,MATIPO,2018,14,10,14,20,16,10,21,14,15,15,8,13
314090,MATIPO,2019,14,7,10,9,11,8,12,23,25,20,17,15
314090,MATIPO,2020,5,14,9,14,13,16,17,12,13,13,16,18
314090,MATIPO,2021,9,14,,,,,,,,,,
314100,MATO VERDE,2018,6,15,5,10,3,8,3,9,5,5,5,5
314100,MATO VERDE,2019,3,5,6,2,0,2,7,2,1,8,3,9
314100,MATO VERDE,2020,7,3,9,7,5,5,9,7,8,7,3,7
314100,MATO VERDE,2021,13,4,,,,,,,,,,
314110,MATOZINHOS,2018,19,18,26,26,21,19,12,23,24,16,25,26
314110,MATOZINHOS,2019,29,23,27,21,18,23,27,20,33,33,31,45
314110,MATOZINHOS,2020,26,28,23,20,26,14,23,24,24,31,32,38
314110,MATOZINHOS,2021,19,26,,,,,,,,,,
314120,MATUTINA,2018,4,4,0,3,0,1,3,3,1,0,1,1
314120,MATUTINA,2019,2,3,1,1,5,2,4,2,1,4,0,1
314120,MATUTINA,2020,2,2,1,1,2,0,1,2,9,1,1,4
314120,MATUTINA,2021,1,1,,,,,,,,,,
314130,MEDEIROS,2018,1,1,3,1,0,1,1,4,3,1,3,3
314130,MEDEIROS,2019,1,0,0,1,3,2,0,2,1,3,2,2
314130,MEDEIROS,2020,0,1,3,0,0,0,0,3,2,0,2,1
314130,MEDEIROS,2021,2,0,,,,,,,,,,
314140,MEDINA,2018,6,7,12,14,9,8,4,11,8,7,4,10
314140,MEDINA,2019,7,6,14,16,15,16,6,7,14,18,14,13
314140,MEDINA,2020,13,19,17,8,19,7,14,12,8,11,15,14
314140,MEDINA,2021,17,9,,,,,,,,,,
314150,MENDES PIMENTEL,2018,3,0,4,4,2,1,0,4,1,2,5,1
314150,MENDES PIMENTEL,2019,3,3,2,4,2,0,0,2,1,0,2,1
314150,MENDES PIMENTEL,2020,0,1,3,2,1,0,0,3,4,3,4,0
314150,MENDES PIMENTEL,2021,3,3,,,,,,,,,,
314160,MERCES,2018,8,8,7,2,7,4,1,3,1,5,3,2
314160,MERCES,2019,6,6,6,5,5,1,5,2,8,3,7,2
314160,MERCES,2020,6,9,8,6,5,5,1,7,11,8,13,9
314160,MERCES,2021,8,6,,,,,,,,,,
314170,MESQUITA,2018,2,1,2,1,4,4,4,3,1,0,2,4
314170,MESQUITA,2019,0,1,1,2,1,0,3,1,1,2,3,2
314170,MESQUITA,2020,2,1,3,0,1,3,2,1,0,1,2,2
314170,MESQUITA,2021,1,2,,,,,,,,,,
314180,MINAS NOVAS,2018,7,6,6,6,12,3,8,11,11,8,9,8
314180,MINAS NOVAS,2019,9,16,12,10,9,9,11,6,9,9,10,11
314180,MINAS NOVAS,2020,13,4,10,13,10,5,7,6,7,6,7,11
314180,MINAS NOVAS,2021,16,7,,,,,,,,,,
314190,MINDURI,2018,1,0,1,0,1,1,3,0,0,0,0,1
314190,MINDURI,2019,2,2,1,0,5,1,0,2,3,3,1,2
314190,MINDURI,2020,1,4,1,1,0,2,1,1,3,3,0,1
314190,MINDURI,2021,3,0,,,,,,,,,,
314200,MIRABELA,2018,13,2,6,6,2,1,6,5,4,9,6,9
314200,MIRABELA,2019,4,4,8,3,10,7,3,17,9,6,5,3
314200,MIRABELA,2020,4,2,6,4,9,7,6,2,5,3,4,7
314200,MIRABELA,2021,7,7,,,,,,,,,,
314210,MIRADOURO,2018,1,6,4,3,5,1,6,6,3,5,2,4
314210,MIRADOURO,2019,3,2,4,5,3,3,3,2,2,9,4,1
314210,MIRADOURO,2020,4,6,3,3,4,5,4,4,5,2,5,5
314210,MIRADOURO,2021,5,1,,,,,,,,,,
314220,MIRAI,2018,6,8,8,6,11,7,7,9,11,3,13,4
314220,MIRAI,2019,17,9,13,8,12,8,7,3,4,2,8,2
314220,MIRAI,2020,6,12,13,10,5,7,5,10,8,8,14,10
314220,MIRAI,2021,7,7,,,,,,,,,,
314225,MIRAVANIA,2018,1,2,2,0,0,0,0,1,1,1,0,0
314225,MIRAVANIA,2019,0,1,1,1,0,0,1,1,0,1,0,0
314225,MIRAVANIA,2020,5,1,1,3,1,1,2,1,0,1,0,0
314225,MIRAVANIA,2021,0,3,,,,,,,,,,
314230,MOEDA,2018,1,2,1,5,5,3,4,3,4,1,5,2
314230,MOEDA,2019,3,1,5,2,5,7,3,6,3,2,11,6
314230,MOEDA,2020,0,4,1,7,7,4,1,2,1,1,1,5
314230,MOEDA,2021,1,7,,,,,,,,,,
314240,MOEMA,2018,2,7,8,5,2,7,5,2,3,5,2,18
314240,MOEMA,2019,4,3,3,4,5,3,8,7,4,5,6,9
314240,MOEMA,2020,0,6,2,2,5,7,1,1,4,3,4,3
314240,MOEMA,2021,0,7,,,,,,,,,,
314250,MONJOLOS,2018,3,2,0,3,2,4,0,0,0,0,0,1
314250,MONJOLOS,2019,1,1,0,0,0,0,3,0,1,1,0,0
314250,MONJOLOS,2020,0,0,3,0,0,3,2,0,2,1,2,1
314250,MONJOLOS,2021,2,1,,,,,,,,,,
314260,MONSENHOR PAULO,2018,5,3,1,6,3,6,5,4,7,3,2,6
314260,MONSENHOR PAULO,2019,4,7,3,2,2,4,4,1,3,3,4,1
314260,MONSENHOR PAULO,2020,3,1,2,2,2,1,1,0,3,2,8,2
314260,MONSENHOR PAULO,2021,3,6,,,,,,,,,,
314270,MONTALVANIA,2018,11,7,5,7,3,6,4,9,10,6,5,10
314270,MONTALVANIA,2019,10,4,1,4,4,6,12,7,12,8,4,7
314270,MONTALVANIA,2020,12,5,12,1,3,7,3,5,12,6,6,12
314270,MONTALVANIA,2021,8,3,,,,,,,,,,
314280,MONTE ALEGRE DE MINAS,2018,12,5,11,18,10,14,11,21,12,10,8,13
314280,MONTE ALEGRE DE MINAS,2019,10,12,9,19,15,6,10,20,13,15,14,8
314280,MONTE ALEGRE DE MINAS,2020,11,16,8,10,6,6,9,14,14,7,7,12
314280,MONTE ALEGRE DE MINAS,2021,13,13,,,,,,,,,,
314290,MONTE AZUL,2018,14,9,4,8,10,7,5,5,5,7,9,8
